Title: Estimation of stellar ages and masses using Gaussian process regression 
Authors: Bu Y., Kumar Y.B., Xie J., Pan J., Zhao G., Wu Y. 
Table: Masses and ages of stars from Ness data set
================================================================================
Byte-by-byte Description of file: apjsab8bcdt8_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1-  8 F8.4   deg       RAdeg         Right Ascension, decimal degrees (J2000)
  10- 16 F7.4   deg       DEdeg         Declination, decimal degrees (J2000)
  18- 21 I4     K         Teff          Temperature derived from LAMOST spectra (1)
  23- 26 F4.2   [cm/s2]   logg          log g derived from LAMOST spectra (1)
  28- 33 F6.3   [-]       [Fe/H]        Metallicity derived from LAMOST spectra (1)
  35- 39 F5.2   [-]       [alpha/Fe]    {alpha} abundance derived from LAMOST spectra (1)
  41- 44 F4.2   Msun      Mass-in       Mass given by the Cannon (1)
  46- 49 F4.2   Msun      Mass-G        Mass given by GPR
  51- 55 F5.2   Gyr       Age-G         Age given by GPR
--------------------------------------------------------------------------------
Note (1): Values taken from Ness et al. (2016ApJ...823..114N)
--------------------------------------------------------------------------------
324.7365  0.5506 4656 2.69  0.056  0.06 1.45 1.44  5.71 
324.7476  2.9483 4827 2.91 -0.009  0.06 1.46 1.51  4.76 
324.7571  9.4636 4535 2.33  0.247  0.04 0.94 1.38  3.96 
324.7677  0.7014 4945 2.45 -0.364  0.13 1.61 1.16  4.03 
324.7764  0.0683 4431 1.78 -0.312  0.11 1.67 1.28  3.74 
324.7847  5.6217 4862 2.44 -0.348  0.08 1.09 1.33  3.65 
324.8002  9.0992 4302 2.11 -0.005  0.16 1.04 1.02 11.60 
324.8013  6.5564 4559 2.29 -0.071  0.08 1.35 1.25  5.47 
324.8492  3.1008 4798 2.57 -0.643  0.24 1.21 0.99  7.02 
324.8782  6.5442 4186 1.61  0.120  0.05 1.07 1.40  7.05 
324.8792  3.4806 4612 2.69 -0.002  0.14 1.17 1.12  8.00 
324.8816  5.8247 4921 2.51 -0.277  0.11 1.25 1.21  3.78 
324.8850  6.7536 4703 2.56 -0.738  0.27 0.98 0.97  8.28 
324.8854  5.9947 4192 1.41 -0.175  0.09 1.21 1.40  2.68 
324.8854  0.0753 4588 2.41  0.287  0.05 1.07 1.33  4.05 
324.8913  5.7256 4283 1.80  0.154  0.01 1.75 1.48  4.48 
324.8929  0.9594 4824 2.46 -0.068  0.06 1.94 1.36  3.75 
324.8982  2.1442 4385 1.77 -0.166  0.05 1.67 1.40  2.89 
